Tomeklinks	0.8989	0.4494	0.5	0.4734	0.0004	0.1	Wine
Tomeklinks	0.7978	0.3989	0.5	0.4438	0.001	0.2	Wine
Tomeklinks	0.8554	0.5262	0.5173	0.5185	0.5088	0.1	Magic
Tomeklinks	0.7519	0.5168	0.5085	0.4986	0.2939	0.2	Magic
Tomeklinks	0.9	0.45	0.5	0.4737	0.0011	0.1	DryBean
Tomeklinks	0.8	0.4	0.5	0.4444	0.0022	0.2	DryBean
ENN	0.96	0.8748	0.9185	0.8951	0.0957	0.1	Iris
ENN	0.9533	0.9229	0.9333	0.928	0.0504	0.2	Iris
ENN	0.2534	0.5027	0.5046	0.2472	0.1235	0.1	Diabetes
ENN	0.3258	0.52	0.5193	0.3257	0.1224	0.2	Diabetes
ENN	0.7584	0.5611	0.6191	0.5632	0.0642	0.1	Wine
ENN	0.7472	0.6562	0.7068	0.6678	0.0477	0.2	Wine
ENN	0.8383	0.6518	0.7672	0.6806	5.3795	0.1	Magic
ENN	0.7899	0.6844	0.7118	0.6953	5.4908	0.2	Magic
ENN	0.8302	0.6746	0.8652	0.707	10.3361	0.1	DryBean
ENN	0.8276	0.7525	0.8439	0.7762	11.3537	0.2	DryBean
MODE	0.8333	0.6718	0.8481	0.7047	0.1048	0.1	Iris
MODE	0.86	0.7836	0.8625	0.8099	0.0153	0.2	Iris
MODE	0.2624	0.5517	0.5803	0.259	0.5556	0.1	Diabetes
MODE	0.3281	0.5536	0.5464	0.3273	0.5726	0.2	Diabetes
MODE	0.809	0.6517	0.8198	0.6762	0.0202	0.1	Wine
MODE	0.809	0.7336	0.8181	0.7543	0.0103	0.2	Wine
MODE	0.3516	0.4431	0.3507	0.2957	13.9006	0.1	Magic
MODE	0.3516	0.4013	0.3506	0.3211	13.5892	0.2	Magic
MODE	0.4439	0.5556	0.6434	0.4018	6.161	0.1	DryBean
MODE	0.4773	0.5981	0.6334	0.4697	7.9469	0.2	DryBean
HARF	0.7333	0.5413	0.5852	0.5347	2.6928	0.1	Iris
HARF	0.6067	0.5679	0.6042	0.5456	2.8946	0.2	Iris
HARF	0.0995	0.0498	0.5	0.0905	3.5398	0.1	Diabetes
HARF	0.1991	0.0995	0.5	0.166	3.4285	0.2	Diabetes
HARF	0.3764	0.5451	0.6038	0.3513	2.769	0.1	Wine
HARF	0.309	0.5877	0.5565	0.304	2.3344	0.2	Wine
HARF	0.3159	0.5015	0.5034	0.296	9.8056	0.1	Magic
HARF	0.2176	0.5084	0.5014	0.1936	10.4324	0.2	Magic
HARF	0.1948	0.499	0.4988	0.1945	7.9231	0.1	DryBean
HARF	0.2031	0.5014	0.5	0.1717	8.1032	0.2	DryBean
Tomeklinks	0.9	0.45	0.5	0.4737	0.0271	0.1	Iris
Tomeklinks	0.8	0.4	0.5	0.4444	0.0016	0.2	Iris
Tomeklinks	0.9005	0.4502	0.5	0.4738	0.0005	0.1	Diabetes
Tomeklinks	0.8009	0.4005	0.5	0.4447	0.001	0.2	Diabetes
Tomeklinks	0.8989	0.4494	0.5	0.4734	0.0005	0.1	Wine
Tomeklinks	0.7978	0.3989	0.5	0.4438	0.0005	0.2	Wine
Tomeklinks	0.8544	0.5286	0.5195	0.5212	0.4275	0.1	Magic
Tomeklinks	0.7517	0.5104	0.5051	0.4934	0.3865	0.2	Magic
Tomeklinks	0.9	0.45	0.5	0.4737	0.0013	0.1	DryBean
Tomeklinks	0.8	0.4	0.5	0.4444	0.0016	0.2	DryBean
